client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
b5badebcabbd0c04853a02bbb60d21c3cf73eedbaf74d37cc73527dc791b75d85bf07b0235aa164129d4f25c4a5f761f98add240ffe9bb7da44971e2f8623b41	common_voice_vi_23745304.mp3	bởi chính bản thân thầy cũng không nhìn ra được chuyện gì	1	1	twenties	male		vi	
7606c9e1bbfc6ce41565a075ca737ceeeb5037f5a0407f904046eba8e068ed953726ee39fcaddf9789fb2b560e82cd46a31e367cc95e3586ed76e08cd265c190	common_voice_vi_23847390.mp3	Ni đi theo lúc này cô mới nhanh chóng đóng sầm cửa lại	1	1	teens	male		vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23847774.mp3	A Hội cầm lấy bao thuốc của tôi	1	0	twenties	male		vi	
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847779.mp3	Đúng rồi mày à	1	1				vi	
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847782.mp3	Lòng người hiểm sâu thước nào đo được	1	1				vi	
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847783.mp3	A Hội cầm lấy bao thuốc của tôi	0	1				vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848856.mp3	Có phải mẹ không ạ	1	1	twenties	male		vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848864.mp3	Anh chàng bị thương vẫn không lên một tiếng	1	1	twenties	male		vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848878.mp3	Anh phải sống phải tiếp tục sống hạnh phúc	1	0	twenties	male		vi	
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848887.mp3	Anh ta trả lời	1	0	twenties	male		vi	
