client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
89a110b28009cf4c728e334d874ad7bc9cac4b6365a28fab55c27739fcc04db85a4ff8327342cb6f1b4eef042f511bd1858ce3ba0d2078c692bbd9e80627f2a7	common_voice_vi_21824031.mp3	Sóng trước đổ đâu, sóng sau đổ đó.	1	2	thirties	male			vi	
89a110b28009cf4c728e334d874ad7bc9cac4b6365a28fab55c27739fcc04db85a4ff8327342cb6f1b4eef042f511bd1858ce3ba0d2078c692bbd9e80627f2a7	common_voice_vi_21824032.mp3	mai mày nhớ cho tao đi cùng đấy	0	2	thirties	male			vi	
89a110b28009cf4c728e334d874ad7bc9cac4b6365a28fab55c27739fcc04db85a4ff8327342cb6f1b4eef042f511bd1858ce3ba0d2078c692bbd9e80627f2a7	common_voice_vi_21824033.mp3	Khiến cho Trinh bứt rứt không yên	0	2	thirties	male			vi	
89a110b28009cf4c728e334d874ad7bc9cac4b6365a28fab55c27739fcc04db85a4ff8327342cb6f1b4eef042f511bd1858ce3ba0d2078c692bbd9e80627f2a7	common_voice_vi_21824034.mp3	Tim nghẹt thở linh hồn như hóa đá	0	2	thirties	male			vi	
89a110b28009cf4c728e334d874ad7bc9cac4b6365a28fab55c27739fcc04db85a4ff8327342cb6f1b4eef042f511bd1858ce3ba0d2078c692bbd9e80627f2a7	common_voice_vi_21824047.mp3	A hội nằm nhìn ra bên ngoài có cánh cửa đại mở	1	2	thirties	male			vi	
89a110b28009cf4c728e334d874ad7bc9cac4b6365a28fab55c27739fcc04db85a4ff8327342cb6f1b4eef042f511bd1858ce3ba0d2078c692bbd9e80627f2a7	common_voice_vi_21824048.mp3	và tính học thật khuya	0	2	thirties	male			vi	
89a110b28009cf4c728e334d874ad7bc9cac4b6365a28fab55c27739fcc04db85a4ff8327342cb6f1b4eef042f511bd1858ce3ba0d2078c692bbd9e80627f2a7	common_voice_vi_21824049.mp3	Nên bố em mới đặt lên xe	1	2	thirties	male			vi	
b145cdf41b9a45130c31290e49b2ac27aea210d32de109f09e7bb5ab08a80f42abbf89d07607e18efa7e21719a8487df62036b08633f92ca36427d77e3f9bd28	common_voice_vi_21833212.mp3	Muốn sống tiếp phải theo lời của ta	0	2	twenties	male			vi	
b145cdf41b9a45130c31290e49b2ac27aea210d32de109f09e7bb5ab08a80f42abbf89d07607e18efa7e21719a8487df62036b08633f92ca36427d77e3f9bd28	common_voice_vi_21833265.mp3	Xin cảm ơn quý khán thính giả đã chú ý lắng nghe	0	2	twenties	male			vi	
b145cdf41b9a45130c31290e49b2ac27aea210d32de109f09e7bb5ab08a80f42abbf89d07607e18efa7e21719a8487df62036b08633f92ca36427d77e3f9bd28	common_voice_vi_21833287.mp3	Đàn con thơ dại	0	2	twenties	male			vi	
b145cdf41b9a45130c31290e49b2ac27aea210d32de109f09e7bb5ab08a80f42abbf89d07607e18efa7e21719a8487df62036b08633f92ca36427d77e3f9bd28	common_voice_vi_21833350.mp3	Đã đôi lần trò chuyện có đâu xa	0	2	twenties	male			vi	
673461eb93de76dbd30036ec03f82f4ced0d9da4b9c1605aa353ba123b68c419ac37913500ab4959d1bc6dc863f3448b098c1bc63075d28f42407b4dec50f5c5	common_voice_vi_21882262.mp3	Để cảm ơn trinh thời gian qua đã giúp đỡ mình trong nhiều chuyện	0	2					vi	
673461eb93de76dbd30036ec03f82f4ced0d9da4b9c1605aa353ba123b68c419ac37913500ab4959d1bc6dc863f3448b098c1bc63075d28f42407b4dec50f5c5	common_voice_vi_21882307.mp3	Mẹ chẳng còn gì	1	2					vi	
5492d3d6d95f85dc99ba4a5edba445c2bd9c3acb687d2266757d8eff6e37d445250660934a78f73d1c814e8f5fe9911c158602f3761735eacfe4f4e74e751eeb	common_voice_vi_21965270.mp3	Đó là vào lúc nửa đêm trinh phải cho kuman ăn	1	2	thirties	female			vi	
98f2f3b9da8eb9fcf9dfeff45d23340d728c22ce0a5f6314b266543586ac23e4bcd3589fc43e2ddb57a6365ad100816e8b91c08e3fee0bf2745a6f397caf0fe1	common_voice_vi_22209931.mp3	Phong	1	2					vi	
d6e6d3f48e882e2df7db537f9132de2bfdd1663884bcae4c24e2b77cc3b4913ffcd710ebe920e260ea2997629fcc2ef0ac232cdc24a208f907e23213dc58aa55	common_voice_vi_22344040.mp3	vong thường yếu lắm	1	2					vi	
b85a197dfcf10b65808f91191e86c50bec934fc0c061d81df8e27924ed84afa6e84caecbf7a1f925b006d4735843a47d13e42dec9a1cfb1354c79bf066a97374	common_voice_vi_22381110.mp3	Đàn bà con gái ai cũng có lòng đố kỵ	0	2					vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402324.mp3	thầy cũng nói chờ tuần bốn mươi chín của thảo sẽ làm lễ	1	2	twenties	male			vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22417059.mp3	Nó lại có hiệu quả tức thời	1	2	twenties	male			vi	
16b4dc6c79741f5df5147a428bb27ca12e8b27d925925b400b93b19162811a15e79cf9ec01847a28c15ade936fc1e44c288db9bd97ab6ede9f2495e84f027e20	common_voice_vi_22426795.mp3	Em cũng	0	2	twenties	male			vi	
16b4dc6c79741f5df5147a428bb27ca12e8b27d925925b400b93b19162811a15e79cf9ec01847a28c15ade936fc1e44c288db9bd97ab6ede9f2495e84f027e20	common_voice_vi_22426796.mp3	cả hai chúng em ngã ập xuống đường	0	2	twenties	male			vi	
16b4dc6c79741f5df5147a428bb27ca12e8b27d925925b400b93b19162811a15e79cf9ec01847a28c15ade936fc1e44c288db9bd97ab6ede9f2495e84f027e20	common_voice_vi_22426797.mp3	Lời cô ngọt ngào	0	2	twenties	male			vi	
16b4dc6c79741f5df5147a428bb27ca12e8b27d925925b400b93b19162811a15e79cf9ec01847a28c15ade936fc1e44c288db9bd97ab6ede9f2495e84f027e20	common_voice_vi_22426798.mp3	Mày không biết được đâu thiên cơ bất khả lộ	0	2	twenties	male			vi	
16b4dc6c79741f5df5147a428bb27ca12e8b27d925925b400b93b19162811a15e79cf9ec01847a28c15ade936fc1e44c288db9bd97ab6ede9f2495e84f027e20	common_voice_vi_22426799.mp3	Ngoài cầu tài lộc may mắn ra	0	2	twenties	male			vi	
3c3a81bc88f39413ad24bcfd8badfae47c4bfbabe966334c627cc4073c97a4ae3f4c71f211f688892dd76b894c700faf23d7d4bdbd1e8619c420bda8679168e0	common_voice_vi_22493632.mp3	Yêu thương nó hơn	0	2					vi	
1760b9733960c03c8237c260bbe77ff8b0449d6a8828f9f2e08baab0334773f66c497d47a7e40bdf39ef3c393bd29081616deca56092d63674accdd5b30589f8	common_voice_vi_22528216.mp3	Vô tình em không biết	0	2					vi	
e6e09bbc0223f1b42fef18730ae8483fb498ef5365e0ceac4783a8c60c062b904ed5c6532c3003aaa050c1f53d41ee4a58052c8ffa9a98a49b1781a1bed69138	common_voice_vi_22750204.mp3	Nghiệp của nó thì bản thân nó gánh	0	2					vi	
e6e12cd3461dae08b77fd7b5d49568c1d885045874b2da880b51462d9ef9c0ca78cb54857856ccdd6f45831aec6e1ade9f7051a8aa6ada9e33363884b10d5935	common_voice_vi_22770198.mp3	Ông ta cũng biến rất nhanh như lúc tới	1	2					vi	
e6e12cd3461dae08b77fd7b5d49568c1d885045874b2da880b51462d9ef9c0ca78cb54857856ccdd6f45831aec6e1ade9f7051a8aa6ada9e33363884b10d5935	common_voice_vi_22770201.mp3	Em lấy hết can đảm hỏi lại	1	2					vi	
e6e12cd3461dae08b77fd7b5d49568c1d885045874b2da880b51462d9ef9c0ca78cb54857856ccdd6f45831aec6e1ade9f7051a8aa6ada9e33363884b10d5935	common_voice_vi_22770202.mp3	Thì bệnh tật có liên quan gì đến tuổi với tác	0	2					vi	
fd04f5399a4aa07bd0df1aa4eeedde15a94cc0dd0d96e4696f78bbbaec2e34112f3295cb195c0940b802f70c3e8a884df0c61cb88ae47c1246e71c5c303ab9bf	common_voice_vi_22791285.mp3	Mà mày nói là nhà ngày ấy là nhà gạch nhỏ	0	2					vi	
fd04f5399a4aa07bd0df1aa4eeedde15a94cc0dd0d96e4696f78bbbaec2e34112f3295cb195c0940b802f70c3e8a884df0c61cb88ae47c1246e71c5c303ab9bf	common_voice_vi_22791287.mp3	chưa đến giờ cho Kamen ăn	0	2					vi	
8977b21c6bc0720da352603480c4af30ab6c293bd0b6afce8417b6ea887be59a598b198e378b5d7a6d3c93a3e8b514992822de5def6e2fdbb33ade191cacfdf7	common_voice_vi_22794715.mp3	bạn đã cho tôi hi vọng	0	2					vi	
df95a7cece66df4405f46895ac40e9c83fa30e9f607021aa476ef1320097b740ce5563bb93cbc89ca5a8a1a1a5567ce7d43d44c4b908d801cc6de6b04b5cc549	common_voice_vi_22816999.mp3	Mấy đứa con gái thì vui mừng	0	2	teens	male			vi	
e9bbe0aa827597d1161b519091d9e6c3bde1806f6cc83a755f70326f45d1925f48602463ed9f574c242424b6fb241beccbe3a3ffc7f93430e11414210fe12148	common_voice_vi_23078522.mp3	Quân thấy đang quỳ giữa ban thờ chắp tay cúi Trước Tượng Phật	1	2	twenties	male			vi	
e9bbe0aa827597d1161b519091d9e6c3bde1806f6cc83a755f70326f45d1925f48602463ed9f574c242424b6fb241beccbe3a3ffc7f93430e11414210fe12148	common_voice_vi_23078614.mp3	Từng đêm trông ngóng	1	2	twenties	male			vi	
e9bbe0aa827597d1161b519091d9e6c3bde1806f6cc83a755f70326f45d1925f48602463ed9f574c242424b6fb241beccbe3a3ffc7f93430e11414210fe12148	common_voice_vi_23078663.mp3	Lúc này thì A Hội cũng đã nhìn thấy	1	2	twenties	male			vi	
